t              pw-in-box.fdtd_before_Ex_3_3_1.dat       incid
4.54496635564967041e-09   -5.04374585856814606e-01   1.39829791235900610e-89
4.56037302126204213e-09   -3.67288189479812455e-01   1.31539442242700001e-90
4.57577968687441384e-09   1.79778205841589767e-02   1.22061441193068562e-91
4.59118635248678556e-09   4.27955165935259618e-01   1.11758422129023837e-92
4.60659301809915810e-09   6.04039152009687719e-01   1.00936661641917850e-93
4.62199968371152982e-09   4.15176077702812618e-01   8.99254266634515526e-95
4.63740634932390154e-09   -4.84023795251761202e-02   7.90492845219282158e-96
4.65281301493627325e-09   -5.15768015873329322e-01   6.85455093287150717e-97
4.66821968054864497e-09   -6.94113972237278110e-01   5.86305041526104180e-98
4.68362634616101669e-09   -4.52732637047816744e-01   4.94826278103246693e-99
4.69903301177338840e-09   8.35241538594572175e-02   4.11951614103307920e-100
4.71443967738576012e-09   5.96921285064392904e-01   3.38299891165090340e-101
4.72984634299813184e-09   7.65798785980462471e-01   2.74122507853671239e-102
4.74525300861050355e-09   4.67386445236527670e-01   2.19104117946517553e-103
4.76065967422287527e-09   -1.33773948615275529e-01   1.72749657669928104e-104
4.77606633983524699e-09   -6.74733247028932448e-01   1.34392108382511257e-105
4.79147300544761870e-09   -8.13735812906530742e-01   1.03131658343225667e-106
4.80687967105999042e-09   -4.47710836337651352e-01   7.80673865292173675e-108
4.82228633667236213e-09   2.11206321328931856e-01   5.83095873451710791e-109
4.83769300228473385e-09   7.56330868268238588e-01   4.29606251575192133e-110
4.85309966789710557e-09   8.37126932440990568e-01   3.12218903263686701e-111
4.86850633350947811e-09   3.85814198559109867e-01   2.23894434534823757e-112
4.88391299912184983e-09   -3.26829015368394760e-01   1.58374885523149762e-113
4.89931966473422154e-09   -8.50850201959653551e-01   1.10505998961380534e-114
4.91472633034659326e-09   -8.39613613984133145e-01   7.60823219187079740e-116
4.93013299595896498e-09   -2.78997659112414476e-01   5.16700837554363882e-117
4.94553966157133669e-09   4.87843828270191127e-01   3.46138274079754646e-118
4.96094632718370841e-09   9.66748654451802025e-01   2.28802806769829277e-119
4.97635299279608013e-09   8.27825364500192062e-01   1.49186370120068625e-120
4.99175965840845184e-09   1.30186171216351121e-01   9.59512199231489743e-122
5.00716632402082356e-09   -6.95493464386913618e-01   6.08942193041243484e-123
5.02257298963319528e-09   -1.10883465939481196e+00   3.81202955377654235e-124
5.03797965524556699e-09   -8.08853922321401853e-01   2.35390258312132095e-125
5.05338632085793871e-09   5.30759308379696870e-02   1.43426009664585816e-126
5.06879298647031043e-09   9.44112016307736890e-01   8.62026269677152260e-128
5.08419965208268214e-09   1.27575638441025885e+00   5.11050218319668924e-129
5.09960631769505386e-09   7.87226958971748547e-01   2.98962622402195561e-130
5.11501298330742557e-09   -2.60906661732600686e-01   1.72513017981827932e-131
5.13041964891979812e-09   -1.22171278065757360e+00   9.81919260172081763e-133
5.14582631453216983e-09   -1.45864397827705927e+00   5.51496807188668413e-134
5.16123298014454155e-09   -7.62149269764491266e-01   3.05534583374501651e-135
5.17663964575691327e-09   4.84128391636281630e-01   1.66964863666926752e-136
5.19204631136928498e-09   1.51207170525420320e+00   9.00339367746627236e-138
5.20745297698165670e-09   1.64136596901370213e+00   4.78890263483649985e-139
5.22285964259402842e-09   7.25788950107603359e-01   2.51253143218873440e-140
5.23826630820640013e-09   -7.17298824353514108e-01   1.30078825720176688e-141
5.25367297381877185e-09   -1.79786771841699755e+00   6.64276317944244814e-143
5.26907963943114357e-09   -1.80248531368864895e+00   3.34607004346061517e-144
5.28448630504351528e-09   -6.63192049585528354e-01   1.66319857695244448e-145
5.29989297065588700e-09   9.60886355713811424e-01   8.15452488275763049e-147
5.31529963626825872e-09   2.06412560416254820e+00   3.94362544413491865e-148
5.33070630188063043e-09   1.91857091541442304e+00   1.88199615322660108e-149
5.34611296749300215e-09   5.54044922018986030e-01   8.85902005751357110e-151
5.36151963310537386e-09   -1.22188818802819110e+00   4.11332855128648629e-152
5.37692629871774558e-09   -2.30106317403722782e+00   1.88464904035086224e-153
5.39233296433011812e-09   -1.96814432070127676e+00   8.51745480473837977e-155
5.40773962994248984e-09   -3.76049695157641972e-01   3.79689203452593205e-156
5.42314629555486156e-09   1.51253013826499561e+00   1.67024189731593063e-157
5.43855296116723327e-09   2.50552480150662316e+00   7.24721458681039142e-159
5.45395962677960499e-09   1.93532175234725745e+00   3.10170295594848581e-160
5.46936629239197671e-09   1.09245794731005930e-01   1.30998218363269469e-161
5.48477295800434842e-09   -1.84715326288461368e+00   5.45719577098035420e-163
5.50017962361672014e-09   -2.68048602688379312e+00   2.24238029149526525e-164
5.51558628922909186e-09   -1.81221897496106621e+00   9.09260938168993036e-166
5.53099295484146357e-09   2.59686462600690504e-01   3.63667990825883738e-167
